UW Year,Loss Date,Reported Date,Last Trans Date,Paid Loss,Outstanding Reserve,Incurred Loss,Status
2021,19/12/2021,20/12/2021,24/12/2021,10000,0,10000,Closed
2021,9/4/2022,29/04/2022,30/05/2022,423.08,0,423.08,Closed
2021,2/5/2022,4/5/2022,,0,500,500,Open
2021,5/5/2022,17/05/2022,,0,562,562,Open
2021,30/04/2022,27/05/2022,10/6/2022,1500,0,1500,Closed
2021,11/6/2022,14/06/2022,21/07/2022,522.46,2777.54,3300,Open
2021,7/6/2022,16/06/2022,12/7/2022,1369.18,0,1369.18,Closed
2021,24/06/2022,24/06/2022,,0,0,0,Closed
2021,23/06/2022,28/06/2022,15/07/2022,1257.45,0,1257.45,Closed
2021,26/06/2022,30/06/2022,,0,850,850,Open
2021,27/05/2022,1/7/2022,29/07/2022,1378.5,0,1378.5,Closed
2021,2/7/2022,5/7/2022,,0,3000,3000,Open
2021,5/7/2022,7/7/2022,,0,2500,2500,Open
2021,26/05/2022,7/7/2022,,0,0,0,Closed
2021,26/05/2022,7/7/2022,2/8/2022,0,3600,3600,Open
2021,6/7/2022,6/7/2022,,0,850,850,Open
2021,17/06/2022,11/7/2022,2/8/2022,582.28,0,582.28,Closed
2021,6/7/2022,12/7/2022,,0,1700,1700,Open
2021,24/06/2022,13/07/2022,,0,850,850,Open
2021,27/06/2022,13/07/2022,27/07/2022,0,850,850,Open
2021,1/7/2022,14/07/2022,,0,850,850,Open
2021,9/7/2022,15/07/2022,,0,850,850,Open
2021,23/06/2022,19/07/2022,2/8/2022,775.43,0,775.43,Closed
2021,18/07/2022,19/07/2022,,0,850,850,Open
2021,17/07/2022,20/07/2022,,0,500,500,Open
2021,1/7/2022,21/07/2022,,0,500,500,Open
2021,20/07/2022,24/07/2022,,0,1100,1100,Open
2021,7/7/2022,26/07/2022,,0,850,850,Open
2021,23/06/2022,19/07/2022,,0,850,850,Open
2021,29/05/2022,28/07/2022,,0,850,850,Open
2021,25/06/2022,3/8/2022,,0,523,523,Open
2021,24/05/2022,29/07/2022,,0,850,850,Open
2020,22/12/2020,22/12/2020,,0,0,0,Closed
2019,4/11/2019,25/02/2020,12/6/2020,3941.43,0,3941.43,Closed
2019,18/11/2019,21/11/2019,29/11/2019,2059.96,0,2059.96,Closed
2019,15/11/2019,25/11/2019,20/12/2019,2952.14,0,2952.14,Closed
2019,20/11/2019,27/11/2019,6/12/2019,2267.91,0,2267.91,Closed
2019,11/11/2019,27/11/2019,10/12/2019,2644.25,0,2644.25,Closed
2019,15/11/2019,29/11/2019,5/12/2019,540,0,540,Closed
2019,19/11/2019,26/11/2019,9/12/2019,1606.23,0,1606.23,Closed
2019,30/11/2019,30/11/2019,,0,0,0,Closed
2019,29/11/2019,2/12/2019,,0,0,0,Closed
2019,19/11/2019,6/12/2019,15/01/2020,243.43,0,243.43,Closed
2019,2/12/2019,9/12/2019,17/12/2019,477.7,0,477.7,Closed
2019,8/12/2019,8/12/2019,4/1/2020,437.89,0,437.89,Closed
2019,18/11/2019,12/12/2019,19/12/2019,290.62,0,290.62,Closed
2019,13/12/2019,17/12/2019,9/4/2020,318.74,0,318.74,Closed
2019,26/11/2019,18/12/2019,9/1/2020,581.07,0,581.07,Closed
2019,28/11/2019,20/12/2019,,0,0,0,Closed
2019,27/12/2019,3/1/2020,17/01/2020,109.58,0,109.58,Closed
2019,6/1/2020,6/1/2020,8/1/2020,369.76,0,369.76,Closed
2019,4/1/2020,4/1/2020,22/10/2020,90727.64,0,90727.64,Closed
2019,8/12/2019,9/1/2020,15/01/2020,892.78,0,892.78,Closed
2019,8/12/2019,9/1/2020,30/01/2020,1148.75,0,1148.75,Closed
2019,16/11/2019,14/01/2020,,0,0,0,Closed
2019,7/12/2019,20/01/2020,11/2/2020,508,0,508,Closed
2019,15/01/2020,15/01/2020,,0,0,0,Closed
2019,17/01/2020,17/01/2020,,0,0,0,Closed
2019,16/11/2019,21/01/2020,,0,0,0,Closed
2019,7/12/2019,28/01/2020,18/03/2020,4605.71,0,4605.71,Closed
2019,29/11/2019,28/01/2020,4/2/2020,644.44,0,644.44,Closed
2019,17/01/2020,28/01/2020,12/3/2020,852,0,852,Closed
2019,12/11/2019,29/01/2020,5/2/2020,643.36,0,643.36,Closed
2019,30/01/2020,30/01/2020,5/3/2020,300.36,0,300.36,Closed
2019,30/01/2020,30/01/2020,13/05/2020,1706.43,0,1706.43,Closed
2019,29/01/2020,30/01/2020,,0,0,0,Closed
2019,14/01/2020,31/01/2020,,0,0,0,Closed
2019,7/1/2020,31/01/2020,6/2/2020,1960.48,0,1960.48,Closed
2019,30/01/2020,30/01/2020,,0,0,0,Closed
2019,28/01/2020,2/2/2020,17/02/2020,105.24,0,105.24,Closed
2019,30/01/2020,30/01/2020,,0,0,0,Closed
2019,1/2/2020,1/2/2020,,0,0,0,Closed
2019,6/12/2019,5/2/2020,10/3/2020,54.49,0,54.49,Closed
2019,6/2/2020,6/2/2020,,0,0,0,Closed
2019,30/01/2020,11/2/2020,,0,0,0,Closed
2019,28/12/2019,10/2/2020,19/02/2020,4347.28,0,4347.28,Closed
2019,7/2/2020,7/2/2020,19/03/2020,1413.6,0,1413.6,Closed
2019,31/12/2019,10/2/2020,13/03/2020,176.68,0,176.68,Closed
2019,9/1/2020,10/2/2020,19/02/2020,136.84,0,136.84,Closed
2019,20/01/2020,11/2/2020,18/02/2020,134.1,0,134.1,Closed
2019,23/01/2020,13/02/2020,20/02/2020,85.5,0,85.5,Closed
2019,9/2/2020,13/02/2020,4/3/2020,93.87,0,93.87,Closed
2019,8/12/2019,15/02/2020,27/08/2020,52.51,0,52.51,Closed
2019,28/12/2019,15/02/2020,27/08/2020,107.22,0,107.22,Closed
2019,15/02/2020,15/02/2020,,0,0,0,Closed
2019,15/02/2020,15/02/2020,31/07/2020,1811.41,0,1811.41,Closed
2019,27/11/2019,17/02/2020,4/3/2020,343.78,0,343.78,Closed
2019,14/02/2020,17/02/2020,27/03/2020,1411.98,0,1411.98,Closed
2019,16/02/2020,6/3/2020,23/03/2020,931.06,0,931.06,Closed
