"gender","Age_client","year","age_of_car_M","Car_power_M","Car_2ndDriver_M","num_policiesC","metro_code","Policy_PaymentMethodA","Policy_PaymentMethodH","Insuredcapital_content_re","Insuredcapital_continent_re","appartment","Client_Seniority","Retention","NClaims1","NClaims2","Claims1","Claims2","Types","PolID"
1,47,5,12,163,0,0,0,1,1,10.1892020656118,12.0732153113915,1,6.5817932923,1,0,0,0,0,1,12476
1,52,5,13,80,0,1,0,1,1,9.57144250145089,11.4431860291592,0,18.480492813,1,0,0,0,0,1,29232
0,66,5,7,97,0,1,1,1,1,9.33021632705907,11.2760512024108,1,15.085557837,1,0,0,0,0,1,23770
1,70,5,17,95,0,1,0,1,1,10.4848967020276,11.1366224299316,1,15.523613963,1,0,1,0,57.97,3,8228
1,67,5,13,110,0,1,0,1,1,10.9613096170126,12.3475908708242,0,6.1081451061,1,0,0,0,0,1,37088
0,47,5,0,92,0,1,0,1,1,10.4196093269049,12.3167034985294,0,17.765913758,1,0,0,0,0,1,27015
1,78,5,0,90,0,0,0,1,1,10.3149403651754,11.5786083310952,0,20.837782341,1,0,0,0,0,1,14192
1,48,5,19,150,0,1,0,1,1,9.99592132672211,8.89739929323006,1,5.8836413415,1,0,1,0,127.48,3,7912
1,46,5,8,75,0,1,0,1,1,10.3358026192861,11.2112530491268,1,6.6967830253,1,0,0,0,0,1,40279
1,76,5,25,55,0,1,0,1,1,10.083458431985,11.0642619471526,1,30.64202601,0,0,0,0,0,1,1317
1,63,5,0,115,0,1,1,0,1,10.6448614052003,11.6946685211316,1,12.673511294,1,0,0,0,0,1,354
1,37,5,15,90,1,0,0,1,1,10.0252860708955,11.5797510562679,1,8.2299794661,0,0,0,0,0,1,32192
0,51,5,8,45,0,1,0,0,0,10.7161582532302,11.6050368978706,1,6.4969199179,1,0,0,0,0,1,28618
1,72,5,6,120,0,1,0,1,1,10.2387022130256,11.4018286392108,0,5.6372347707,0,0,0,0,0,1,3586
1,59,5,14,125,0,1,0,1,1,11.3479266395414,11.9765292840478,1,12.79945243,1,0,0,0,0,1,21572
1,65,5,11,115,0,1,0,1,1,10.8054572258273,11.1898628165909,1,10.891170431,0,0,0,0,0,1,24297
0,60,5,24,115,0,1,0,1,1,10.6419354830012,11.4040628240242,1,22.995208761,0,0,0,0,0,1,4211
1,69,5,7,136,0,1,0,1,1,9.64533191934267,11.0315777340238,0,16.539356605,1,0,0,0,0,1,2673
1,49,5,17,90,1,1,0,1,1,9.97678819889006,11.0182121709887,1,5.5879534565,1,0,0,0,0,1,18821
1,65,5,7,120,0,1,0,1,1,10.0956026622177,11.1941877185232,1,6.1136208077,1,0,0,0,0,1,19912
1,64,5,15,82,0,0,0,0,1,10.5222761526196,10.3681293327265,1,19.802874743,0,0,0,0,0,1,18327
0,47,5,4,105,0,1,0,1,0,9.51203850887468,12.2740863711436,0,5.749486653,1,0,0,0,0,1,13385
1,54,5,0,90,0,0,0,1,1,10.20702587262,11.6973082293489,1,8.0876112252,1,0,0,0,0,1,35452
1,72,5,0,82,0,1,0,1,1,9.48723395742004,11.433080746029,1,13.171800137,0,0,0,0,0,1,27300
1,67,5,17,130,0,1,0,1,1,10.1583572644109,11.8165549487963,0,5.839835729,1,0,0,0,0,1,32938
1,57,5,20,95,1,1,0,0,1,11.7402426943602,11.5777248895695,1,8.1423682409,1,0,0,0,0,1,37149
1,56,5,10,136,0,0,0,0,0,10.5066334362019,12.916346080977,0,6.083504449,1,0,0,0,0,1,7060
1,73,5,11,110,0,1,0,1,1,10.1306414516452,9.33218271304839,1,5.2895277207,1,0,0,0,0,1,4286
1,68,5,19,85,0,1,0,1,1,11.809961650969,12.6572555839723,1,6.5023956194,1,0,0,0,0,1,27393
1,85,5,0,70,0,1,0,0,0,10.3499803939989,11.7289573884985,1,12.407939767,1,0,0,0,0,1,1225
0,60,5,9,105,1,1,0,1,1,9.39274525863144,11.4075760603618,0,6.2422997947,1,0,0,0,0,1,31028
1,62,5,20,90,0,0,0,1,1,10.2036291813376,11.4075760603618,1,7.5455167693,1,0,0,0,0,1,34437
1,82,5,0,117,0,1,0,1,1,11.0102125109948,11.713301389719,1,17.00752909,1,0,0,0,0,1,12806
0,46,5,5,136,0,0,0,0,1,10.9227712396074,12.3498733775252,0,11.323750856,1,0,0,0,0,1,18930
1,57,5,7,105,0,1,0,1,0,10.931831513812,12.1257412711964,0,5.2785763176,1,0,0,0,0,1,9385
1,58,5,10,150,0,1,0,0,1,11.1553838598749,11.5036868198087,1,8.758384668,1,0,0,0,0,1,10413
0,53,5,0,60,1,1,0,1,1,8.45822631977238,12.0598901353521,0,16.476386037,1,0,0,0,0,1,2850
0,56,5,12,140,0,0,0,1,1,9.70483415429436,11.5326810323356,1,15.23340178,1,0,0,0,0,1,28201
1,67,5,8,140,0,1,0,1,1,10.5095285334291,11.8445093444472,0,7.7015742642,1,0,0,0,0,1,38375
1,43,5,11,120,0,1,0,1,1,10.2865870717662,11.8959970322626,0,5.4620123203,1,0,0,0,0,1,29697
1,80,5,17,64,0,1,0,1,1,9.03211043308548,10.7996708786739,1,5.787816564,1,0,0,0,0,1,4521
1,62,5,13,100,0,1,1,1,1,10.6751653750974,11.5018309477855,1,7.3456536619,1,0,0,0,0,1,23088
1,79,5,0,115,1,1,0,1,1,11.0052116611332,11.7589742764141,1,19.54825462,1,0,0,0,0,1,19876
1,73,5,0,100,0,1,0,1,1,11.1807283370356,12.3846911043122,1,21.771389459,1,0,0,0,0,1,27295
1,47,5,14,55,1,1,1,1,1,10.9311198180672,11.693250029101,1,12.837782341,1,0,0,0,0,1,25414
1,83,5,0,60,0,1,1,0,1,10.6669196029269,10.7722738033959,1,18.028747433,1,0,0,0,0,1,22335
1,49,5,13,110,0,1,0,1,1,8.84861555601248,10.6120864874883,1,7.9178644764,1,0,0,0,0,1,20204
1,80,5,0,75,0,1,0,1,1,9.93143583528613,12.1733516036751,1,18.631074606,1,0,0,0,0,1,38888
