"PolicyNum","Year","Premium","Deduct","BCcov","Freq","Fire5","NoClaimCredit","EntityType","AlarmCredit","BCClaim"
120002,2006,9313,1000,22714456,0,1,0,3,1,0
120002,2007,8767,1000,25046646,0,1,0,3,1,0
120002,2008,7090,1000,20851525,0,1,1,3,1,0
120002,2009,8522,1000,21852696,0,1,1,3,1,0
120002,2010,7994,1000,23511493,1,1,1,3,1,6838.87
120003,2006,40735,5000,99353377,0,1,0,3,4,0
120003,2007,39728,5000,104546824,5,1,0,3,4,15500
120003,2008,42280,5000,111265009,1,1,0,3,4,8775
120003,2009,36893,5000,119005219,2,1,0,3,4,37470.91
120003,2010,36687,5000,114646079,1,1,0,3,4,9711.28
120004,2006,16823,500,25879634,3,1,0,3,4,13003.08
120004,2007,20507,500,29720359,1,1,0,3,4,32733.44
120004,2008,22694,500,31088524,0,1,0,3,4,0
120004,2009,18185,1000,33064745,3,1,0,3,4,42600.43
120004,2010,17839,1000,31853574,1,1,0,3,4,10323.5
120005,2006,19192,1000,31462584,0,1,0,3,4,0
120005,2007,14245,5000,33128746,5,1,0,3,4,144005.39
120005,2008,15397,5000,34995158,0,1,0,3,4,0
120005,2009,14050,5000,36974202,2,1,0,3,4,27480.88
120005,2010,12431,5000,32713698,0,1,0,3,4,0
120008,2006,21644,500,46051532,3,1,0,3,4,48060.82
120008,2007,18928,500,49811334,2,1,0,3,4,2250
120008,2008,17809,500,43438490,2,1,0,3,4,713.15
120008,2009,18144,500,45360920,2,1,0,3,4,12014.69
120008,2010,16090,500,47321724,1,1,0,3,4,3469.79
120009,2006,15988,25000,66618639,0,1,0,3,4,0
120009,2007,16120,25000,70089341,0,1,0,3,4,0
120009,2008,16948,25000,73688951,0,1,1,3,4,0
120009,2009,15044,25000,75219452,2,1,1,3,4,5474.3
120009,2010,15180,25000,72286976,0,1,0,3,4,0
120010,2009,16334,25000,71017505,7,0,0,3,1,20110.06
120010,2010,15861,25000,99135847,1,0,0,3,4,35000
120012,2006,196802,500,447277005,20,1,0,3,4,55273.39
120012,2007,196055,500,478182819,15,1,0,3,4,366403.42
120012,2008,214762,500,511339313,11,1,0,3,4,47562.49
120012,2009,222048,500,584335432,19,1,0,3,4,157402.17
120012,2010,222052,500,569366096,19,1,0,3,4,83934.7
120013,2006,63796,500,127590738,3,0,0,3,4,20169.21
120013,2007,55347,500,138368204,6,0,0,3,4,13101.99
120013,2008,59665,500,145526388,4,0,0,3,4,41266.18
120013,2009,62636,500,152772888,0,0,0,3,4,0
120013,2010,58869,500,163526511,5,0,0,3,4,63529.9
120015,2006,43760,1000,84154470,10,1,0,3,4,194133.31
120015,2007,42497,1000,92383555,8,1,0,3,4,26819.98
120015,2008,41638,1000,96832364,9,1,0,3,4,52866.97
120015,2009,43605,1000,101407523,6,1,0,3,4,36411.4
120015,2010,38657,1000,107382645,11,1,0,3,4,38117.45
120017,2006,25733,5000,67719951,5,1,0,3,1,970.9
120017,2007,21816,5000,72719899,8,1,0,3,1,52342.26
120017,2008,22907,5000,71582224,8,1,0,3,4,5018.22
120017,2009,23997,5000,74992679,5,1,0,3,4,886.95
120017,2010,22321,5000,79719144,7,1,0,3,4,9131.7
120018,2006,51823,5000,101613238,0,1,0,3,4,0
120018,2007,48858,5000,108575007,1,1,0,3,4,44628.76
120018,2008,44785,5000,114830450,1,1,0,3,4,146083.94
120018,2009,49863,5000,121617722,2,1,0,3,4,117967.96
120018,2010,39301,5000,115589417,1,1,0,3,4,9648.62
120021,2006,12923,2500,23930241,0,0,0,3,1,0
120021,2007,11573,2500,25716292,0,0,0,3,1,0
120021,2008,12135,2500,28220772,0,0,1,3,4,0
120021,2009,13031,2500,29615734,1,0,1,3,4,5451.19
120021,2010,10707,2500,31490661,2,0,0,3,4,10989.35
120022,2006,14410,500,22168794,6,0,0,3,4,52282.21
120022,2007,13081,500,23783332,1,0,0,3,4,4500
120022,2008,13172,500,24852080,0,0,0,3,4,0
120022,2009,13839,500,26110607,1,0,0,3,4,2440.21
120022,2010,12937,500,27525078,0,0,0,3,4,0
120023,2006,19602,1000,44549513,0,1,0,3,3,0
120023,2007,17714,1000,47874105,2,1,0,3,3,55591.69
120023,2008,19695,1000,50498835,2,1,0,3,3,57080.39
120023,2009,19622,1000,51635317,0,1,0,3,3,0
